Name,LiI-6707,OI-7771,OI-7774,OI-7775,NaI-5682,NaI-5688,NaI-5889,NaI-5895,KI-7664,KI-7698
CS 22883-037,0.04,,,,,,,,,
CS 22884-020,-0.04,-0.23,-0.22,-0.21,,,-0.46,,,-0.29
CS 22884-108,-0.04,,,,,,,,,
CS 22885-040,-0.04,-0.36,-0.36,,,,,,,
CS 22885-096,0.12,-0.06,-0.06,-0.06,,,0.0,,,
CS 22885-203,-0.03,-0.22,,,,,,,,-0.28
CS 22886-003,-0.02,-0.35,-0.35,-0.34,,,,,,
CS 22886-012,-0.03,-0.17,,-0.16,,,-0.3,,,-0.29
CS 22886-013,0.04,-0.33,-0.31,-0.3,,,,,,
CS 22886-044,-0.04,-0.16,-0.15,-0.13,,,,,-0.46,
CS 22888-002,-0.02,-0.22,-0.21,-0.21,,,,,,
CS 22888-014,-0.04,-0.34,-0.33,-0.32,,,,,,
CS 22888-031,-0.02,-0.28,-0.28,-0.28,,,,,,
CS 22888-047,0.05,,,,,,,,,
CS 22889-050,-0.02,,,,,,,,,
CS 22890-011,-0.04,-0.27,,,,,,,,
CS 22890-024,0.01,-0.1,,,,,,,,
CS 22890-064,-0.03,,,,,,,,,
CS 22891-184,0.05,-0.14,-0.14,-0.13,,,,,,
CS 22891-200,0.13,-0.05,-0.05,-0.05,,,,,0.07,
CS 22891-209,0.13,-0.06,-0.06,-0.06,,,,,,
CS 22891-221,0.02,,-0.1,-0.1,,,-0.18,,,
CS 22892-025,-0.04,-0.38,-0.37,-0.36,,,,,,
CS 22892-052,0.12,-0.06,-0.06,-0.06,,,,,,-0.24
CS 22893-005,0.01,-0.1,-0.1,-0.1,,,-0.38,,,
CS 22893-010,-0.07,-0.1,,,-0.1,-0.13,,,-0.28,-0.25
CS 22893-011,-0.05,-0.22,-0.21,-0.2,,,,-0.55,,
CS 22894-004,-0.03,-0.28,-0.27,,,,,-0.57,,-0.28
CS 22894-019,-0.03,,,,,,,,,
CS 22894-023,-0.03,,,,,,,,,
CS 22894-049,-0.05,-0.3,-0.3,-0.29,,,,,,
CS 22896-015,0.05,-0.09,-0.09,-0.09,,,,-0.34,-0.33,-0.28
CS 22896-055,0.05,-0.26,-0.25,-0.23,,,,,,
CS 22896-110,0.11,-0.11,-0.11,-0.11,,,,,-0.35,-0.29
CS 22896-115,-0.04,,,-0.28,,,,,,
CS 22896-136,-0.04,-0.23,-0.22,-0.22,,,,,,
CS 22897-008,0.13,-0.06,-0.06,-0.06,,,-0.14,,,-0.17
CS 22898-043,0.04,-0.33,-0.32,-0.31,,,,,,
CS 22898-047,0.04,,-0.1,-0.09,,,,,,
CS 22937-072,0.07,,,,,,,,,
CS 22940-070,0.03,,,,,,,,,
CS 22940-077,0.1,,,,,,,,,
CS 22940-121,0.11,,,,,,,,,
CS 22941-017,0.05,-0.09,-0.09,-0.09,,,-0.39,,,-0.23
CS 22941-027,0.05,,,,,,,,,
CS 22942-002,0.06,-0.08,-0.08,-0.08,,,,,,
CS 22942-011,0.07,-0.08,-0.08,-0.08,,,,-0.42,,-0.28
CS 22942-035,0.07,-0.08,-0.08,-0.08,,,,,,
CS 22943-059,-0.02,,,,,,,,,
CS 22943-095,-0.05,-0.3,-0.3,-0.29,,,,,,-0.31
CS 22943-132,-0.03,-0.23,-0.23,-0.22,,,,,,
CS 22943-137,-0.02,-0.11,-0.11,-0.11,,,,,,
CS 22943-201,0.02,-0.28,-0.27,-0.26,,,,,,
CS 22944-014,-0.04,,,,,,-0.43,,,
CS 22944-032,0.04,-0.09,-0.09,-0.09,,,,,,
