Seq,Name,[Fe/H],Species,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_[X/H],Nlines
16,CS 22878-101,-3.25,Ti II,,2.02,,-3.0,,0.25,0.09,28
16,CS 22878-101,-3.25,Cr I,,2.01,,-3.66,,-0.41,0.13,7
16,CS 22878-101,-3.25,Mn I,,1.6,,-3.79,,-0.54,0.12,3
16,CS 22878-101,-3.25,Fe I,,4.21,,-3.29,,-0.04,0.12,144
16,CS 22878-101,-3.25,Fe II,,4.29,,-3.21,,0.04,0.14,17
16,CS 22878-101,-3.25,Co I,,1.89,,-3.03,,0.22,0.07,4
16,CS 22878-101,-3.25,Ni I,,2.77,,-3.48,,-0.23,0.1,3
16,CS 22878-101,-3.25,Zn I,,1.75,,-2.85,,0.4,,1
17,CS 22885-096,-3.78,C-H,,4.95,,-3.57,,0.24,,
17,CS 22885-096,-3.78,C-N,,,,,,,,
17,CS 22885-096,-3.78,O I,,,,,,,,
17,CS 22885-096,-3.78,Na I,,2.49,,-3.84,,-0.06,,2
17,CS 22885-096,-3.78,Mg I,,3.99,,-3.59,,0.19,0.12,7
17,CS 22885-096,-3.78,Al I,,1.9,,-4.57,,-0.79,,2
17,CS 22885-096,-3.78,Si I,,4.29,,-3.26,,0.52,,1
17,CS 22885-096,-3.78,K I,,1.68,,-3.44,,0.34,,2
17,CS 22885-096,-3.78,Ca I,,2.93,,-3.43,,0.35,0.15,12
17,CS 22885-096,-3.78,Sc II,,-0.24,,-3.41,,0.37,0.08,5
17,CS 22885-096,-3.78,Ti I,,1.58,,-3.44,,0.34,0.07,9
17,CS 22885-096,-3.78,Ti II,,1.56,,-3.46,,0.32,0.11,24
17,CS 22885-096,-3.78,Cr I,,1.41,,-4.26,,-0.48,0.13,7
17,CS 22885-096,-3.78,Mn I,,1.07,,-4.32,,-0.54,0.02,3
17,CS 22885-096,-3.78,Fe I,,3.69,,-3.81,,-0.03,0.17,120
17,CS 22885-096,-3.78,Fe II,,3.75,,-3.75,,0.03,0.14,5
17,CS 22885-096,-3.78,Co I,,1.62,,-3.3,,0.48,0.05,4
17,CS 22885-096,-3.78,Ni I,,2.47,,-3.78,,0.0,0.06,3
17,CS 22885-096,-3.78,Zn I,,1.26,,-3.34,,0.44,,1
18,CS 22891-209,-3.29,C-H,,4.71,,-3.81,,-0.52,,
18,CS 22891-209,-3.29,C-N,,,,,,,,
18,CS 22891-209,-3.29,O I,,6.25,,-2.52,,0.77,,
18,CS 22891-209,-3.29,Na I,,3.55,,-2.78,,0.51,,2
18,CS 22891-209,-3.29,Mg I,,4.63,,-2.95,,0.34,0.14,8
18,CS 22891-209,-3.29,Al I,,2.75,,-3.72,,-0.44,,2
18,CS 22891-209,-3.29,Si I,,4.6,,-2.95,,0.34,,1
18,CS 22891-209,-3.29,K I,,2.35,,-2.77,,0.52,,2
18,CS 22891-209,-3.29,Ca I,,3.38,,-2.98,,0.31,0.09,16
18,CS 22891-209,-3.29,Sc II,,-0.06,,-3.23,,0.06,0.05,7
18,CS 22891-209,-3.29,Ti I,,1.97,,-3.05,,0.24,0.04,12
18,CS 22891-209,-3.29,Ti II,,1.94,,-3.08,,0.21,0.12,30
18,CS 22891-209,-3.29,Cr I,,2.01,,-3.66,,-0.38,0.16,7
18,CS 22891-209,-3.29,Mn I,,1.73,,-3.66,,-0.38,0.08,3
18,CS 22891-209,-3.29,Fe I,,4.21,,-3.29,,0.0,0.14,145
18,CS 22891-209,-3.29,Fe II,,4.22,,-3.28,,0.0,0.11,18
18,CS 22891-209,-3.29,Co I,,1.83,,-3.09,,0.2,0.07,4
18,CS 22891-209,-3.29,Ni I,,2.98,,-3.27,,0.02,0.04,3
18,CS 22891-209,-3.29,Zn I,,1.76,,-2.84,,0.45,,1
19,CS 22892-052,-3.03,C-H,,6.38,,-2.14,,0.89,,
19,CS 22892-052,-3.03,C-N,,5.42,,-2.5,,0.53,,
19,CS 22892-052,-3.03,O I,,6.21,,-2.56,,0.47,,
