Name,Ion,Species,l_logepsX,logepsX
HD 184266,Zn I,30.0,,3.19
HD 184266,Y II,39.1,,0.69
HD 184266,La II,57.1,,-0.11
HD 184266,Eu II,63.1,,-0.43
HD 184266,Pb I,82.0,<,1.6
HD 186478,Fe I,26.0,,-10.06
HD 186478,Zn I,30.0,,2.23
HD 186478,Y II,39.1,,-0.45
HD 186478,La II,57.1,,-1.32
HD 186478,Eu II,63.1,,-1.53
HD 186478,Pb I,82.0,<,-0.26
HD 187111,Fe I,26.0,,-9.47
HD 187111,Zn I,30.0,,2.84
HD 187111,Y II,39.1,,0.16
HD 187111,La II,57.1,,-0.57
HD 187111,Eu II,63.1,,-0.88
HD 187111,Pb I,82.0,,-0.1
HD 188510,Fe I,26.0,,-8.82
HD 188510,Zn I,30.0,,3.01
HD 188510,Y II,39.1,,0.44
HD 188510,La II,57.1,,-0.14
HD 188510,Eu II,63.1,,-0.52
HD 188510,Pb I,82.0,<,1.2
HD 193901,Fe I,26.0,,-8.58
HD 193901,Zn I,30.0,,3.36
HD 193901,Y II,39.1,,0.83
HD 193901,La II,57.1,,0.19
HD 193901,Eu II,63.1,,-0.1
HD 193901,Pb I,82.0,<,1.45
HD 194598,Fe I,26.0,,-8.58
HD 194598,Zn I,30.0,,3.4
HD 194598,Y II,39.1,,0.9
HD 194598,La II,57.1,,0.08
HD 194598,Eu II,63.1,,-0.28
HD 194598,Pb I,82.0,<,1.4
HD 201891,Fe I,26.0,,-8.59
HD 201891,Zn I,30.0,,3.55
HD 201891,Y II,39.1,,0.88
HD 201891,La II,57.1,,0.12
HD 201891,Eu II,63.1,,-0.22
HD 201891,Pb I,82.0,,1.25
HD 204543,Fe I,26.0,,-9.37
HD 204543,Zn I,30.0,,
HD 204543,Y II,39.1,,0.12
HD 204543,La II,57.1,,-0.63
HD 204543,Eu II,63.1,,-1.05
HD 204543,Pb I,82.0,,0.05
HD 206739,Fe I,26.0,,-9.22
HD 206739,Zn I,30.0,,2.98
HD 206739,Y II,39.1,,0.36
HD 206739,La II,57.1,,-0.32
HD 206739,Eu II,63.1,,-0.62
HD 206739,Pb I,82.0,,0.38
HD 210295,Fe I,26.0,,-8.96
HD 210295,Zn I,30.0,,3.37
HD 210295,Y II,39.1,,0.85
HD 210295,La II,57.1,,-0.1
HD 210295,Eu II,63.1,,-0.34
HD 210295,Pb I,82.0,,0.72
HD 214362,Fe I,26.0,,-9.37
HD 214362,Zn I,30.0,,2.71
HD 214362,Y II,39.1,,0.32
HD 214362,La II,57.1,,-0.48
HD 214362,Eu II,63.1,,-0.82
HD 214362,Pb I,82.0,<,1.0
HD 214925,Fe I,26.0,,-9.58
HD 214925,Zn I,30.0,,
HD 214925,Y II,39.1,,
HD 214925,La II,57.1,,-0.86
HD 214925,Eu II,63.1,,-1.09
HD 214925,Pb I,82.0,,-0.5
HD 21581,Fe I,26.0,,-9.21
HD 21581,Zn I,30.0,,2.99
HD 21581,Y II,39.1,,0.44
HD 21581,La II,57.1,,-0.42
HD 21581,Eu II,63.1,,-0.81
HD 21581,Pb I,82.0,<,0.5
HD 216143,Fe I,26.0,,-9.82
HD 216143,Zn I,30.0,,2.57
HD 216143,Y II,39.1,,-0.12
HD 216143,La II,57.1,,-1.21
HD 216143,Eu II,63.1,,-1.24
HD 216143,Pb I,82.0,<,-0.1
HD 218857,Fe I,26.0,,-9.4
HD 218857,Zn I,30.0,,2.64
HD 218857,Y II,39.1,,-0.19
HD 218857,La II,57.1,,-1.16
HD 218857,Eu II,63.1,,-1.42
HD 218857,Pb I,82.0,<,0.55
HD 220838,Fe I,26.0,,-9.3
HD 220838,Zn I,30.0,,
HD 220838,Y II,39.1,,0.47
HD 220838,La II,57.1,,-0.76
HD 220838,Eu II,63.1,,-0.93
HD 220838,Pb I,82.0,,0.05
HD 221170,Fe I,26.0,,-9.66
HD 221170,Zn I,30.0,,2.51
HD 221170,Y II,39.1,,-0.08
HD 221170,La II,57.1,,-0.73
HD 221170,Eu II,63.1,,-0.86
HD 221170,Pb I,82.0,,-0.09
HD 233666,Fe I,26.0,,-9.29
HD 233666,Zn I,30.0,,2.88
HD 233666,Y II,39.1,,0.22
HD 233666,La II,57.1,,-0.68
HD 233666,Eu II,63.1,,-1.03
HD 233666,Pb I,82.0,<,0.4
HD 235766,Fe I,26.0,,-9.43
HD 235766,Zn I,30.0,,
HD 235766,Y II,39.1,,
HD 235766,La II,57.1,,-0.6
HD 235766,Eu II,63.1,,-0.86
HD 235766,Pb I,82.0,,0.1
HD 237846,Fe I,26.0,,-10.79
HD 237846,Zn I,30.0,,1.69
HD 237846,Y II,39.1,,-1.56
HD 237846,La II,57.1,,
HD 237846,Eu II,63.1,,-3.1
HD 237846,Pb I,82.0,,0.29
HD 23798,Fe I,26.0,,-9.76
HD 23798,Zn I,30.0,,2.39
HD 23798,Y II,39.1,,-0.19
HD 23798,La II,57.1,,-1.01
HD 23798,Eu II,63.1,,-1.36
HD 23798,Pb I,82.0,,-0.21
HD 25329,Fe I,26.0,,-9.17
HD 25329,Zn I,30.0,,3.0
HD 25329,Y II,39.1,,0.67
HD 25329,La II,57.1,,-0.05
HD 25329,Eu II,63.1,,
HD 25329,Pb I,82.0,,
HD 25532,Fe I,26.0,,-8.84
HD 25532,Zn I,30.0,,3.52
HD 25532,Y II,39.1,,1.05
HD 25532,La II,57.1,,-0.13
HD 25532,Eu II,63.1,,-0.64
HD 25532,Pb I,82.0,<,1.15
HD 26297,Fe I,26.0,,-9.48
HD 26297,Zn I,30.0,,3.07
HD 26297,Y II,39.1,,0.4
HD 26297,La II,57.1,,-0.85
HD 26297,Eu II,63.1,,-1.22
HD 26297,Pb I,82.0,,-0.11
HD 2665,Fe I,26.0,,-9.49
HD 2665,Zn I,30.0,,2.49
HD 2665,Y II,39.1,,-0.42
HD 2665,La II,57.1,,-0.92
HD 2665,Eu II,63.1,,-1.15
HD 2665,Pb I,82.0,<,0.3
HD 2796,Fe I,26.0,,-9.97
HD 2796,Zn I,30.0,,2.37
HD 2796,Y II,39.1,,-0.51
HD 2796,La II,57.1,,-1.47
HD 2796,Eu II,63.1,,-1.84
HD 2796,Pb I,82.0,,
HD 29574,Fe I,26.0,,-9.5
HD 29574,Zn I,30.0,,2.67
HD 29574,Y II,39.1,,0.19
HD 29574,La II,57.1,,-0.37
HD 29574,Eu II,63.1,,-0.63
HD 29574,Pb I,82.0,,-0.06
HD 3008,Fe I,26.0,,-9.58
HD 3008,Zn I,30.0,,2.52
HD 3008,Y II,39.1,,-0.3
HD 3008,La II,57.1,,-0.79
HD 3008,Eu II,63.1,,-1.09
HD 3008,Pb I,82.0,,-0.56
