# These are the reported abundances. They did not report the [FeI/H] abundance.
Name            , [FeII/H], [Mg/FeI], [Si/FeI], [Ca/FeI], [TiI/FeI], [TiII/FeII]
T7299_00506_1   , -0.91   , 0.51    , 0.47    , 0.36    , 0.12     , 0.33
T7464_00857_1   , -0.85   , 0.52    , 0.51    , 0.22    , 0.04     , 0.26
T7538_00271_1   , -0.61   , 0.11    , 0.17    , 0.13    , -0.04    , 0.08
T7578_00560_1   , -0.87   , 0.43    , 0.32    , 0.29    , 0.22     , 0.31
T7729_00280_1   , -1.15   , 0.37    , 0.53    , 0.23    , 0.12     , 0.27
T7922_00252_1   , -0.64   , 0.07    , 0.26    , 0.17    , 0.03     , 0.09
T8055_00583_1   , -1.66   , 0.25    , 0.4     , 0.24    , 0.11     , 0.2
T8117_00251_1   , -1.18   , 0.3     , 0.45    , 0.23    , 0.1      , 0.22
T8251_00250_1   , -1.11   , 0.21    , 0.21    , 0.28    , 0.07     , 0.2
T8409_01371_1   , -0.92   , 0.41    , 0.4     , 0.12    , 0.06     , 0.34
T8413_00131_1   , -0.81   , 0.46    , 0.3     , 0.09    , 0.11     , 0.03
